Day,PreyPop,PredatorPop,TotalPop,Nutrition,NumFoodTiles,NumWaterTiles
0,16,2,18,408,68,2993
1,16,2,18,377,68,2993
2,14,2,16,438,83,2993
3,12,2,14,454,89,2993
4,12,2,14,514,101,2993
5,10,2,12,608,118,2993
6,29,2,31,679,136,2993
7,29,2,31,772,151,2993
8,27,2,29,801,156,2993
9,25,4,29,804,159,2993
10,25,4,29,854,168,2993
11,37,4,41,924,181,2993
12,35,4,39,924,179,2993
13,33,4,37,956,190,2993
14,33,4,37,1023,200,2993
15,29,4,33,1046,206,2993
16,36,4,40,1029,206,2993
17,36,6,42,1016,206,2993
18,32,6,38,1091,216,2993
19,28,6,34,1155,228,2993
20,50,10,60,1151,229,2993
21,58,10,68,1154,226,2993
22,53,10,63,1118,220,2993
23,48,9,57,1069,213,2993
24,48,8,56,1048,209,2993
25,78,8,86,972,196,2993
26,70,8,78,885,180,2993
27,70,8,78,793,161,2993
28,59,14,73,714,148,2993
29,51,14,65,648,132,2993
30,79,14,93,590,120,2993
31,73,14,87,478,97,2993
32,63,14,77,391,82,2993
33,56,14,70,297,64,2993
34,67,14,81,200,44,2993
35,84,14,98,103,26,2993
36,10,14,24,78,19,2993
37,6,12,18,76,20,2993
38,0,9,9,75,19,2993
